operator,lt30_kw,ge30_lt50_kw,ge50_lt100_kw,ge100_lt200_kw,ge200_kw,updated_date
기후에너지환경부,295,307.2,325.6,348.4,393.1,2026-07-31
E1,280,320,347.2,347.2,347.2,2026-08-06
GS차지비,295,307,325,345,345,2026-08-05
GS칼텍스,-,-,347,347,-,2026-09-07
KH에너지,-,-,316.3,338.4,381.9,2026-08-05
LG유플러스 볼트업,295,295,350,350,350,2026-07-01
NICE인프라,295,295,320,350,350,2026-08-03
SG생활안전,315,315,350,350,350,2026-08-10
SK렌터카,310,310,350,380,380,2026-03-13
SK시그넷,-,-,-,347,347,2026-09-15
SK에너지,286,286,347.2,-,-,2026-03-13
SK일렉링크,295,295,391,391,391,2026-08-06
가온건설,295,307.2,325.6,348.4,-,2026-08-11
광성계측기,245,245,320,-,-,2026-08-11
그리드위즈,289,305,-,-,-,2026-08-06
그린전력,324.4,324.4,347.2,-,-,2026-03-13
넥씽,300,300,350,350,350,2026-08-06
농협경제지주 신재생에너지센터,274,287,307,327,327,2026-08-06
뉴로모빌리티,280,280,324,324,324,2026-03-16
뉴텍솔루션,270,270,280,-,-,2026-08-07
대도엘앤씨,350,370,380,420,450,2026-08-25
대성물류건설,280,280,-,-,-,2026-04-30
대한송유관공사,490,-,324.4,300,-,2026-08-18
동양이엔피,280,280,-,350,350,2026-03-13
두루스코이브이,250,250,340,-,-,2026-03-13
레드이엔지,295,295,400,-,-,2026-09-02
롯데이노베이트,-,-,360,380,380,2026-03-13
리셀파워,295,307.2,325.6,348.4,393.1,2026-08-06
매니지온,230,230,-,324.4,324.4,2026-03-13
메가볼트,324.4,324.4,347.2,-,-,2026-05-08
모던텍,324.7,324.7,-,324.7,324.7,2026-03-13
모트렉스이브이,250,300,300,320,320,2026-05-13
바이온에버,295,307.2,325.6,348.4,393.1,2026-07-30
보타리에너지,286.7,286.7,324.4,347.2,347.2,2026-03-13
브라이트에너지파트너스,295,307.2,-,348.4,393.1,2026-08-05
블루네트웍스,324.4,324.4,-,347.2,347.2,2026-03-13
서울시,324.4,324.4,324.4,-,-,2026-03-13
서울씨엔지,295,295,350,350,350,2026-09-03
서현에너지,295,307.2,325.6,348.4,393.1,2026-07-30
선광시스템,-,-,325.6,-,-,2026-08-10
소프트베리,297,297,-,-,-,2026-03-13
스칼라데이터,295,307.2,325.6,348.4,393.1,2026-08-05
스타코프,294,294,340,340,340,2026-09-09
신세계아이앤씨,-,-,324,-,-,2026-04-10
아론,290,290,-,-,-,2026-05-08
아마노코리아,276,276,-,330,330,2026-03-13
아우토크립트,-,-,320,-,-,2026-08-05
아이마켓코리아,310,-,330,324.4,-,2026-08-20
아이파킹,299,345,345,-,-,2026-08-05
아하,260,260,-,330,330,2026-04-10
에바,290,290,-,319,319,2026-07-31
에버온,296,296,296,296,296,2026-04-15
에스에스기전,280,280,300,-,-,2026-03-13
에스이랩,230,230,-,-,-,2026-03-13
엔비플러스,-,-,325.6,-,393.1,2026-08-06
엘에스이링크,-,-,-,319,319,2026-03-13
온스테이션,320,320,-,-,-,2026-08-06
왕산전기,-,-,380,380,-,2026-09-09
우진산전,-,-,-,348.4,393.1,2026-08-26
유플러스아이티,290,-,320,320,-,2026-08-21
이브이루씨,292,292,-,340,340,2026-03-24
이브이시스,310,324,360,380,380,2026-05-11
이브이씨코리아,295,-,-,-,-,2026-08-06
이앤에이치에너지,294,294,-,324.4,324.4,2026-06-25
이에스앤에이치,295,307.2,-,-,-,2026-07-02
이엘일렉트릭,260,280,320,320,340,2026-08-06
이웨이브,324.4,324.4,347.2,347.2,347.2,2026-07-27
이지차저,289,289,289,289,289,2026-08-06
이지트로닉스,294.3,306,324.4,347.2,391.9,2026-06-17
이카플러그,275,275,-,-,-,2026-03-13
인천국제공항공사,295,307.2,325.6,348.4,393.1,2026-07-27
인큐버스,-,-,325.6,-,-,2026-08-06
일렉트리,295,307.2,325.6,348.4,393.1,2026-08-06
제주전기자동차서비스,280,280,320,340,340,2026-03-13
차밥스,300,300,400,400,-,2026-08-05
채비,275,315,410,430,430,2026-03-13
캐스트프로,324.4,324.4,-,-,-,2026-03-13
쿨사인,324.4,324.4,347.2,-,-,2026-03-13
크로커스,242,242,-,330,330,2026-03-13
클린일렉스,287,287,317,339,382,2026-08-11
타디스테크놀로지,317,324,324,347,347,2026-07-29
태성콘텍,250,250,-,324.4,324.4,2026-03-13
티맵,350,350,420,420,420,2026-08-24
파워큐브,319,319,-,-,-,2026-03-13
펌프킨,324.2,324.2,-,347.1,347.1,2026-03-13
플러그링크,292,322,322,345,345,2026-07-31
피라인모터스,250,250,300,-,-,2026-03-13
한국EV충전서비스센터,400,400,400,-,-,2026-03-13
한국동서발전,-,-,313,-,-,2026-07-22
한국자동차환경협회,295,307.2,325.6,348.4,393.1,2026-08-04
한국전기차인프라기술,288,288,324.4,347.2,347.2,2026-03-13
한국전기차충전서비스,298,298,398,398,398,2026-08-18
한국전력공사,295,307.2,325.6,348.4,393.1,2026-09-10
한국홈충전,330,330,380,-,-,2026-08-06
한마음장애인복지회,324.4,324.4,347.2,-,-,2026-03-13
한솔엠에스,-,-,-,-,-,2026-03-13
한화솔루션,283,283,-,352,352,2026-03-13
현대엔지니어링,290,290,350,350,390,2026-09-07
현대자동차,-,-,-,460,-,2026-07-28
현승,295,307.2,325.6,348.4,393.1,2026-09-14
휴맥스이브이,280,280,320,340,340,2026-08-06
