﻿variable_name,value,unit,base_year,region,detail_condition,source_name,source_url,source_type,analysis_use,status,confidence,note
diesel_co2_per_liter,2.60832,kgCO2/L,공식 지침,대한민국,35.2MJ/L×74100kgCO2/TJ÷1e6,온실가스종합정보센터 공식 배출계수,https://www.gir.go.kr/,PUBLIC_OFFICIAL,ICE kgCO2/km,부분확보,B,직접 CO2; CH4/N2O 제외
automotive_lpg_co2_per_liter,1.59643,kgCO2/L,공식 지침,대한민국,25.3MJ/L×63100kgCO2/TJ÷1e6,온실가스종합정보센터 공식 배출계수,https://www.gir.go.kr/,PUBLIC_OFFICIAL,ICE kgCO2/km,부분확보,B,LPG 혼합비·발열량 민감도
electricity_emission_factor_selected,0.4173,kgCO2e/kWh,2023,대한민국,소비단 최신 연도값,온실가스종합정보센터 공식 배출계수,https://www.gir.go.kr/,PUBLIC_OFFICIAL,EV kgCO2e/km,확보,B,원문 세부 적용범위 재확인 권장
electricity_emission_factor_legacy,0.4594,kgCO2e/kWh,2017 이후 기본,대한민국,기존 EG-TIPS,한국에너지공단 EG-TIPS,https://tips.energy.or.kr/,PUBLIC_OFFICIAL,민감도,확보,B,본값으로 선택하지 않음
pv5_wav_ev_emission_selected,0.0948409091,kgCO2e/km,2023/2026,서울,0.4173÷4.4,온실가스종합정보센터 공식 배출계수; 기아 PV5 WAV 공식 제원·가격,https://www.gir.go.kr/ | https://www.kia.com/kr/vehicles/pv5-wav/specification,PUBLIC_OFFICIAL,UD 탄소/km,확보,B,충전손실·LCA 제외
pv5_wav_ev_emission_legacy,0.1044090909,kgCO2e/km,legacy/2026,서울,0.4594÷4.4,한국에너지공단 EG-TIPS; 기아 PV5 WAV 공식 제원·가격,https://tips.energy.or.kr/ | https://www.kia.com/kr/vehicles/pv5-wav/specification,PUBLIC_OFFICIAL,민감도,확보,B,
carnival_ice_emission,0.147,kgCO2/km,2023 인증차량,서울 적용 가정,카니발 2.2 디젤 9인승 기본형 정부 신고 복합 CO2,기아 2023 카니발 가격·연비표,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_4thcarnival.pdf,PUBLIC_OFFICIAL,기존 fleet 탄소 임시 대리값,추정 적용,B,일반 차량 인증값; 서울 휠체어 특장차 실운행값 아님; 연식·연료 확인 시 교체
grand_starex_ice_emission,0.213,kgCO2/km,2020 전후 인증차량,서울 적용 가정,그랜드 스타렉스 2.5 디젤 어린이보호차 특장형 정부 신고 복합 CO2,현대 그랜드 스타렉스 특장차 가격표,https://www.hyundai.com/content/dam/hyundai/kr/ko/data/vehicles/price/grandstarex-special-vehicle-price.pdf,PUBLIC_OFFICIAL,기존 fleet 탄소 임시 대리값,추정 적용,C,유사 특장차 인증값; 휠체어 특장형 인증값 아님; 연식·연료 확인 시 교체
staria_ice_emission,0.171,kgCO2/km,2023 인증차량,서울 적용 가정,스타리아 투어러 2.2 디젤 9인승 2WD 기본형 정부 신고 복합 CO2,현대 2023 스타리아 가격·연비표,https://www.hyundai.com/contents/repn-car/catalog/staria-price.pdf,PUBLIC_OFFICIAL,기존 fleet 탄소 임시 대리값,추정 적용,B,디젤 가정; 일반 차량 인증값; 서울 휠체어 특장차 실운행값 아님
staria_lpg_ice_emission_alternative,0.197,kgCO2/km,2023 인증차량,서울 적용 가정,스타리아 투어러 3.5 LPG 9인승 2WD 기본형 정부 신고 복합 CO2,현대 2023 스타리아 가격·연비표,https://www.hyundai.com/contents/repn-car/catalog/staria-price.pdf,PUBLIC_OFFICIAL,스타리아 LPG 대안,추정 적용,B,스타리아 연료가 LPG로 확인된 경우 기본값 0.171 대신 사용
three_model_equal_weight_diesel_proxy,0.177,kgCO2/km,혼합 인증연도,서울 적용 가정,(0.147+0.213+0.171)/3; 세 차종 동일 비중·스타리아 디젤 가정,기아·현대 정부 신고 복합 CO2,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_4thcarnival.pdf | https://www.hyundai.com/content/dam/hyundai/kr/ko/data/vehicles/price/grandstarex-special-vehicle-price.pdf | https://www.hyundai.com/contents/repn-car/catalog/staria-price.pdf,DERIVED_ASSUMPTION,차종 미구분 fleet 탄소 기본 시나리오,추정 적용,C,실제 서울 fleet 평균 아님; 차종별 대수·연료·총주행거리 확보 시 가중평균으로 교체
three_model_equal_weight_staria_lpg_proxy,0.1856666667,kgCO2/km,혼합 인증연도,서울 적용 가정,(0.147+0.213+0.197)/3; 세 차종 동일 비중·스타리아 LPG 가정,기아·현대 정부 신고 복합 CO2,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_4thcarnival.pdf | https://www.hyundai.com/content/dam/hyundai/kr/ko/data/vehicles/price/grandstarex-special-vehicle-price.pdf | https://www.hyundai.com/contents/repn-car/catalog/staria-price.pdf,DERIVED_ASSUMPTION,차종 미구분 fleet 탄소 LPG 민감도,추정 적용,C,실제 서울 fleet 평균 아님; 스타리아 연료가 LPG인 경우의 대안
