"charger_id","charger_name","lat","lon","charger_type","power_kw","connector","number_of_chargers","simultaneous_capacity","price_per_kwh","open_hour","public_private","taxi_access"
"seoul_owned_50동부캠퍼스_1","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_2","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_3","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_4","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_5","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_6","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_7","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_8","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_9","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_10","50동부캠퍼스","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_11","50동부캠퍼스","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_12","50동부캠퍼스","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_50동부캠퍼스_13","50동부캠퍼스","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_AI 체육센터_1","AI 체육센터","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_AI 체육센터_2","AI 체육센터","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_SK허브수 인근 거주자우선주차장_1","SK허브수 인근 거주자우선주차장","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_SK허브수 인근 거주자우선주차장_2","SK허브수 인근 거주자우선주차장","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_가산 공영주차장_1","가산 공영주차장","","","DC콤보","50","DC콤보","1","1","","주중 08:00~19:00, 주말 09:00~18:00","서울시 소유",""
"seoul_owned_강남구 압구정 나들목 앞 가로등형 충전기_1","강남구 압구정 나들목 앞 가로등형 충전기","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강남구 압구정 나들목 앞 가로등형 충전기_2","강남구 압구정 나들목 앞 가로등형 충전기","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강남운전면허시험장_1","강남운전면허시험장","","","DC콤보","50","DC콤보","1","1","","평일 09:00~18:00","서울시 소유",""
"seoul_owned_강남주민편익시설_1","강남주민편익시설","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강남주민편익시설_2","강남주민편익시설","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강남주민편익시설_3","강남주민편익시설","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강남주민편익시설_4","강남주민편익시설","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강동구청_1","강동구청","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강동구청_2","강동구청","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강동구청 제2구민체육센터_1","강동구청 제2구민체육센터","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강동구청 제2구민체육센터_2","강동구청 제2구민체육센터","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강동구청 제2구민체육센터_3","강동구청 제2구민체육센터","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강동문화재단_1","강동문화재단","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강동문화재단_2","강동문화재단","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_강동문화재단_3","강동문화재단","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개봉1동 노외공영주차장_1","개봉1동 노외공영주차장","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개봉1동 노외공영주차장_2","개봉1동 노외공영주차장","","","AC완속","7","AC완속","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개화산역 공영주차장_1","개화산역 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개화산역 공영주차장_2","개화산역 공영주차장","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개화산역 공영주차장_3","개화산역 공영주차장","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개화산역 공영주차장_4","개화산역 공영주차장","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개화산역 공영주차장_5","개화산역 공영주차장","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개화산역 공영주차장_6","개화산역 공영주차장","","","DC콤보","100","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_개화산역 공영주차장_7","개화산역 공영주차장","","","DC콤보","200","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척1동 마을 공영주차장_1","고척1동 마을 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척1동 마을 공영주차장_2","고척1동 마을 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척1동 마을 공영주차장_3","고척1동 마을 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척1동 마을 공영주차장_4","고척1동 마을 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척1동 마을 공영주차장_5","고척1동 마을 공영주차장","","","DC콤보","50","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척스카이돔_1","고척스카이돔","","","DC콤보","90","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척스카이돔_2","고척스카이돔","","","DC콤보","90","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척스카이돔_3","고척스카이돔","","","DC콤보","90","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
"seoul_owned_고척스카이돔_4","고척스카이돔","","","DC콤보","90","DC콤보","1","1","","24시간 이용가능","서울시 소유",""
