operator,min_power_kw_inclusive,max_power_kw_exclusive,price_per_kwh,unit,tariff_type,updated_date,retrieved_date,source_id,source_url,status,note
기후에너지환경부,0,30,295.0,KRW/kWh,사업자 회원 공시요금,2026-07-31,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
기후에너지환경부,30,50,307.2,KRW/kWh,사업자 회원 공시요금,2026-07-31,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
기후에너지환경부,50,100,325.6,KRW/kWh,사업자 회원 공시요금,2026-07-31,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
기후에너지환경부,100,200,348.4,KRW/kWh,사업자 회원 공시요금,2026-07-31,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
기후에너지환경부,200,,393.1,KRW/kWh,사업자 회원 공시요금,2026-07-31,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
E1,0,30,280.0,KRW/kWh,사업자 회원 공시요금,2026-08-06,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
E1,30,50,320.0,KRW/kWh,사업자 회원 공시요금,2026-08-06,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
E1,50,100,347.2,KRW/kWh,사업자 회원 공시요금,2026-08-06,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
E1,100,200,347.2,KRW/kWh,사업자 회원 공시요금,2026-08-06,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
E1,200,,347.2,KRW/kWh,사업자 회원 공시요금,2026-08-06,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
GS차지비,0,30,295.0,KRW/kWh,사업자 회원 공시요금,2026-08-05,2026-09-17,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,공개값 확인,실제 사이트/회원카드/로밍/계약조건 확인 후 적용. 커넥터 호환성과 요금은 별도. 갱신일은 시행일 아님.
