parameter,label,value,unit,reference_date,source_id,source_url,status,note
ud_fleet_size,UD 차량 수,12,대,2026-07,S01,https://www.seoul.go.kr/news/news_report.do?nttNo=460523&srchCtgry=467,공개값 확인,두 시나리오 동일. 기존 장애인콜택시 fleet 별도 유지.
s0_monthly_quota,S0 차량별 월 장애인운행 우선 건수,100,건/대/월,연구 시나리오,S01,https://www.seoul.go.kr/news/news_report.do?nttNo=460523&srchCtgry=467,연구규칙,"차량별 누적. 전체 1,200건을 한 차량에 몰아 적용하지 않음."
s1_monthly_quota,S1 의무 건수,,건/대/월,연구 시나리오,,,해당없음,의무 건수 미적용. 수요기반 동적배차. 공란은 0건 운행 뜻이 아님.
day_04_22_base,일반택시 day_04_22 기본요금,4800,원,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,2023-02-01 시행 요금. 2026년 갱신 공식 페이지에서 현행 확인. 기본거리 1.6km.
day_04_22_increment,일반택시 day_04_22 추가요금,100,원/요금단위,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,거리 131m 또는 시간 30초 단위. 전체 주행시간을 거리요금에 단순 중복 가산하지 않음.
night_22_23_02_04_base,일반택시 night_22_23_02_04 기본요금,5800,원,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,2023-02-01 시행 요금. 2026년 갱신 공식 페이지에서 현행 확인. 기본거리 1.6km.
night_22_23_02_04_increment,일반택시 night_22_23_02_04 추가요금,120,원/요금단위,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,거리 131m 또는 시간 30초 단위. 전체 주행시간을 거리요금에 단순 중복 가산하지 않음.
night_23_02_base,일반택시 night_23_02 기본요금,6700,원,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,2023-02-01 시행 요금. 2026년 갱신 공식 페이지에서 현행 확인. 기본거리 1.6km.
night_23_02_increment,일반택시 night_23_02 추가요금,140,원/요금단위,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,거리 131m 또는 시간 30초 단위. 전체 주행시간을 거리요금에 단순 중복 가산하지 않음.
taxi_base_km,일반택시 기본거리,1.6,km,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,서울 중형택시
taxi_distance_step_m,일반택시 거리요금 단위,131,m,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,교통상황별 미터 적용조건 별도 반영
taxi_time_step_sec,일반택시 시간요금 단위,30,초,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,저속구간 시간요금 적용. 전체 운행시간 아님.
taxi_outside_surcharge,시계외 할증률,0.2,비율,2026-04-03,S02,https://news.seoul.go.kr/traffic/archives/1659,공개값 확인,시계외 적용 대상/구간 확인. 서울 내부 운행은 미적용.
disability_base_fare,장애인 승객 기본요금,1500,원,2026-09-17 확인,S03,https://sisul.or.kr/open_content/calltaxi/introduce/receipt.jsp,공개값 확인,5km까지. UD 동일요금 확인 S11. 회사 수입 전체가 아님.
disability_base_km,장애인 기본거리,5,km,2026-09-17 확인,S03,https://sisul.or.kr/open_content/calltaxi/introduce/receipt.jsp,공개값 확인,승객 요금 기준
disability_middle_limit_km,장애인 중간구간 상한,10,km,2026-09-17 확인,S03,https://sisul.or.kr/open_content/calltaxi/introduce/receipt.jsp,공개값 확인,5km 초과~10km
disability_5_10_rate,장애인 5~10km 추가요금,280,원/km,2026-09-17 확인,S03,https://sisul.or.kr/open_content/calltaxi/introduce/receipt.jsp,공개값 확인,시간·지역 할증 없음
disability_over10_rate,장애인 10km 초과 추가요금,70,원/km,2026-09-17 확인,S03,https://sisul.or.kr/open_content/calltaxi/introduce/receipt.jsp,공개값 확인,최종 금액 100원 미만 절사
disability_rounding,장애인 요금 절사 단위,100,원,2026-09-17 확인,S03,https://sisul.or.kr/open_content/calltaxi/introduce/receipt.jsp,공개값 확인,주차·통행료 승객 부담. 보전분 중복 매출/비용 주의.
pv5_efficiency,PV5 WAV 복합 공인전비,4.4,km/kWh,2026-09-17 확인,S07,https://www.kia.com/kr/vehicles/pv5-wav/specification,공개값 확인,실운행 전비 아님. 충전량과 배터리 소비량 경계 일치 필요. 손실률 임의 추가 금지.
ud_subsidy_per_trip,UD 장애인운행 보조금,,원/건,,,,기관 정산자료 필요,건당/차액/월정액 여부부터 확인 필요. 공개 요금으로 대체 금지.
actual_charging_price,실제 적용 충전단가,,원/kWh,,S04,https://ev.or.kr/nportal/evcarInfo/initEvcarChargePriceV2.do,계약/영수증 필요,사업자·출력·회원/로밍·계약 조건별 결정. 사업자별 공시요금은 별도 표.
