﻿hour,weekday_type,avg_trip_count,avg_passenger_km,avg_fare,avg_revenue_hour,vacancy_ratio,avg_vacant_time,fare_rule_reference,status,confidence,source_url,note
0,weekday,,,,,,,심야40%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
1,weekday,,,,,,,심야40%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
2,weekday,,,,,,,심야20%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
3,weekday,,,,,,,심야20%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
4,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
5,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
6,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
7,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
8,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
9,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
10,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
11,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
12,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
13,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
14,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
15,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
16,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
17,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
